wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_130154-jl7dlsbn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n200-wd0.5-300k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/jl7dlsbn
Generating dataset: n_nodes=6, n_graphs=200, dataset_seed=42
  train: 4,800 samples | val: 1,200 samples | vocab size: 10 | seq len: 48
Training: lr=0.001, wd=0.5, n_steps=300,000, seed=0
step    500 | train loss 1.1753 | train acc 0.523 | val loss 1.2896 | val acc 0.429 | ‖g‖ 1.6971 | 14s
step   1000 | train loss 0.9404 | train acc 0.594 | val loss 1.2920 | val acc 0.474 | ‖g‖ 2.1126 | 27s
step   1500 | train loss 0.8839 | train acc 0.648 | val loss 1.3186 | val acc 0.482 | ‖g‖ 2.5554 | 40s
step   2000 | train loss 0.6069 | train acc 0.742 | val loss 1.3958 | val acc 0.473 | ‖g‖ 2.9058 | 54s
step   2500 | train loss 0.6672 | train acc 0.781 | val loss 1.3426 | val acc 0.475 | ‖g‖ 3.7308 | 68s
step   3000 | train loss 0.6611 | train acc 0.758 | val loss 1.4116 | val acc 0.504 | ‖g‖ 5.2780 | 82s
step   3500 | train loss 0.5717 | train acc 0.727 | val loss 1.4379 | val acc 0.472 | ‖g‖ 5.0967 | 96s
step   4000 | train loss 0.6020 | train acc 0.727 | val loss 1.4303 | val acc 0.508 | ‖g‖ 6.3266 | 110s
step   4500 | train loss 0.7016 | train acc 0.742 | val loss 1.5331 | val acc 0.496 | ‖g‖ 8.3137 | 127s
step   5000 | train loss 0.4226 | train acc 0.812 | val loss 1.5094 | val acc 0.473 | ‖g‖ 9.2384 | 142s
step   5500 | train loss 0.6518 | train acc 0.703 | val loss 1.4337 | val acc 0.505 | ‖g‖ 8.6217 | 156s
