wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_143634-73rpsu2c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n200-wd0.1-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/73rpsu2c
Generating dataset: n_nodes=6, n_graphs=200, dataset_seed=42
  train: 4,800 samples | val: 1,200 samples | vocab size: 10 | seq len: 48
Training: lr=0.001, wd=0.1, n_steps=200,000, seed=0
step    500 | train loss 1.1819 | train acc 0.484 | val loss 1.3104 | val acc 0.417 | ‖g‖ 1.6843 | 13s
step   1000 | train loss 0.9407 | train acc 0.641 | val loss 1.4647 | val acc 0.434 | ‖g‖ 2.1585 | 26s
step   1500 | train loss 0.8237 | train acc 0.695 | val loss 1.6100 | val acc 0.418 | ‖g‖ 2.7542 | 38s
step   2000 | train loss 0.6148 | train acc 0.719 | val loss 1.9424 | val acc 0.407 | ‖g‖ 2.9458 | 54s
step   2500 | train loss 0.4600 | train acc 0.805 | val loss 2.2308 | val acc 0.385 | ‖g‖ 3.7045 | 67s
step   3000 | train loss 0.4048 | train acc 0.875 | val loss 2.5424 | val acc 0.362 | ‖g‖ 4.0416 | 81s
step   3500 | train loss 0.4277 | train acc 0.844 | val loss 2.5365 | val acc 0.403 | ‖g‖ 5.4482 | 96s
step   4000 | train loss 0.4072 | train acc 0.852 | val loss 3.0140 | val acc 0.397 | ‖g‖ 6.7296 | 110s
step   4500 | train loss 0.2664 | train acc 0.891 | val loss 3.2891 | val acc 0.366 | ‖g‖ 3.8812 | 125s
step   5000 | train loss 0.3701 | train acc 0.867 | val loss 3.0822 | val acc 0.388 | ‖g‖ 5.1019 | 141s
step   5500 | train loss 0.1654 | train acc 0.938 | val loss 3.3838 | val acc 0.401 | ‖g‖ 3.1709 | 155s
step   6000 | train loss 0.1980 | train acc 0.938 | val loss 3.4578 | val acc 0.401 | ‖g‖ 4.5379 | 170s
step   6500 | train loss 0.2014 | train acc 0.930 | val loss 3.5921 | val acc 0.372 | ‖g‖ 3.8077 | 184s
