wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_171815-16hmi1rh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n4-wd0.2-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/16hmi1rh
Generating dataset: n_nodes=4, n_graphs=200, dataset_seed=42
  train: 1,920 samples | val: 480 samples | vocab size: 8 | seq len: 21
Training: lr=0.001, wd=0.2, n_steps=200,000, seed=0
step    500 | train loss 0.4933 | train acc 0.781 | val loss 1.1390 | val acc 0.602 | ‖g‖ 1.6562 | 6s
step   1000 | train loss 0.3130 | train acc 0.844 | val loss 1.3627 | val acc 0.606 | ‖g‖ 2.7255 | 11s
step   1500 | train loss 0.2724 | train acc 0.883 | val loss 1.4231 | val acc 0.629 | ‖g‖ 3.4469 | 17s
step   2000 | train loss 0.1652 | train acc 0.969 | val loss 1.6900 | val acc 0.615 | ‖g‖ 3.0041 | 23s
step   2500 | train loss 0.1871 | train acc 0.930 | val loss 1.6253 | val acc 0.648 | ‖g‖ 4.0306 | 29s
step   3000 | train loss 0.1127 | train acc 0.969 | val loss 1.7473 | val acc 0.656 | ‖g‖ 1.9972 | 35s
step   3500 | train loss 0.0820 | train acc 0.969 | val loss 1.9423 | val acc 0.640 | ‖g‖ 2.9303 | 41s
step   4000 | train loss 0.0629 | train acc 0.977 | val loss 1.8998 | val acc 0.650 | ‖g‖ 2.3406 | 47s
step   4500 | train loss 0.1494 | train acc 0.953 | val loss 1.7489 | val acc 0.665 | ‖g‖ 4.2794 | 54s
step   5000 | train loss 0.0916 | train acc 0.961 | val loss 1.7995 | val acc 0.665 | ‖g‖ 3.3017 | 60s
step   5500 | train loss 0.1346 | train acc 0.969 | val loss 2.0330 | val acc 0.667 | ‖g‖ 4.4648 | 66s
step   6000 | train loss 0.0972 | train acc 0.961 | val loss 1.9526 | val acc 0.656 | ‖g‖ 6.7124 | 72s
step   6500 | train loss 0.1404 | train acc 0.969 | val loss 1.9182 | val acc 0.625 | ‖g‖ 3.6000 | 78s
step   7000 | train loss 0.0126 | train acc 1.000 | val loss 2.0385 | val acc 0.646 | ‖g‖ 0.4679 | 84s
step   7500 | train loss 0.2364 | train acc 0.906 | val loss 1.4756 | val acc 0.656 | ‖g‖ 3.5228 | 91s
step   8000 | train loss 0.0560 | train acc 0.969 | val loss 1.9803 | val acc 0.644 | ‖g‖ 2.7881 | 97s
step   8500 | train loss 0.0665 | train acc 0.969 | val loss 1.8787 | val acc 0.673 | ‖g‖ 2.6793 | 103s
step   9000 | train loss 0.1447 | train acc 0.930 | val loss 2.0851 | val acc 0.640 | ‖g‖ 6.7625 | 109s
step   9500 | train loss 0.1056 | train acc 0.969 | val loss 2.1775 | val acc 0.671 | ‖g‖ 6.0959 | 115s
step  10000 | train loss 0.1359 | train acc 0.961 | val loss 2.2514 | val acc 0.652 | ‖g‖ 5.2853 | 121s
step  10500 | train loss 0.0221 | train acc 0.992 | val loss 2.0460 | val acc 0.667 | ‖g‖ 1.9488 | 127s
step  11000 | train loss 0.0348 | train acc 0.992 | val loss 2.1051 | val acc 0.642 | ‖g‖ 2.6102 | 133s
step  11500 | train loss 0.0664 | train acc 0.977 | val loss 1.9893 | val acc 0.658 | ‖g‖ 5.0526 | 139s
step  12000 | train loss 0.0968 | train acc 0.969 | val loss 2.1071 | val acc 0.640 | ‖g‖ 5.7990 | 145s
step  12500 | train loss 0.0069 | train acc 1.000 | val loss 2.4473 | val acc 0.656 | ‖g‖ 0.7294 | 151s
step  13000 | train loss 0.0973 | train acc 0.969 | val loss 1.8257 | val acc 0.669 | ‖g‖ 3.5781 | 157s
step  13500 | train loss 0.0524 | train acc 0.977 | val loss 2.1642 | val acc 0.662 | ‖g‖ 4.6446 | 163s
step  14000 | train loss 0.0157 | train acc 1.000 | val loss 1.9729 | val acc 0.656 | ‖g‖ 1.1034 | 170s
step  14500 | train loss 0.0876 | train acc 0.961 | val loss 1.8856 | val acc 0.660 | ‖g‖ 4.6429 | 176s
step  15000 | train loss 0.1159 | train acc 0.953 | val loss 2.0686 | val acc 0.648 | ‖g‖ 4.2831 | 182s
step  15500 | train loss 0.0265 | train acc 0.992 | val loss 2.1214 | val acc 0.677 | ‖g‖ 3.0709 | 188s
step  16000 | train loss 0.0685 | train acc 0.969 | val loss 2.0862 | val acc 0.642 | ‖g‖ 4.4292 | 194s
step  16500 | train loss 0.0903 | train acc 0.961 | val loss 1.9779 | val acc 0.685 | ‖g‖ 4.4244 | 200s
step  17000 | train loss 0.0015 | train acc 1.000 | val loss 2.2264 | val acc 0.679 | ‖g‖ 0.1238 | 206s
step  17500 | train loss 0.2407 | train acc 0.938 | val loss 1.7335 | val acc 0.640 | ‖g‖ 6.2226 | 212s
step  18000 | train loss 0.0862 | train acc 0.969 | val loss 1.7767 | val acc 0.648 | ‖g‖ 4.0947 | 219s
step  18500 | train loss 0.0036 | train acc 1.000 | val loss 2.2397 | val acc 0.688 | ‖g‖ 0.2464 | 225s
step  19000 | train loss 0.0032 | train acc 1.000 | val loss 2.2906 | val acc 0.694 | ‖g‖ 0.4577 | 231s
step  19500 | train loss 0.0681 | train acc 0.992 | val loss 1.8359 | val acc 0.669 | ‖g‖ 2.5927 | 238s
step  20000 | train loss 0.0303 | train acc 0.992 | val loss 1.7930 | val acc 0.683 | ‖g‖ 1.8384 | 244s
step  20500 | train loss 0.0019 | train acc 1.000 | val loss 2.1406 | val acc 0.690 | ‖g‖ 0.1369 | 250s
step  21000 | train loss 0.1001 | train acc 0.969 | val loss 1.5713 | val acc 0.677 | ‖g‖ 6.5900 | 256s
step  21500 | train loss 0.1087 | train acc 0.969 | val loss 1.5997 | val acc 0.679 | ‖g‖ 4.5357 | 262s
step  22000 | train loss 0.0521 | train acc 0.984 | val loss 1.6341 | val acc 0.685 | ‖g‖ 2.7496 | 268s
step  22500 | train loss 0.0017 | train acc 1.000 | val loss 2.0756 | val acc 0.700 | ‖g‖ 0.0798 | 275s
step  23000 | train loss 0.1523 | train acc 0.922 | val loss 1.6566 | val acc 0.685 | ‖g‖ 5.5896 | 282s
step  23500 | train loss 0.1253 | train acc 0.945 | val loss 1.7241 | val acc 0.677 | ‖g‖ 5.4704 | 288s
step  24000 | train loss 0.1361 | train acc 0.961 | val loss 1.5752 | val acc 0.656 | ‖g‖ 5.5515 | 296s
step  24500 | train loss 0.1261 | train acc 0.945 | val loss 1.8349 | val acc 0.677 | ‖g‖ 7.2773 | 303s
step  25000 | train loss 0.0087 | train acc 1.000 | val loss 1.8212 | val acc 0.690 | ‖g‖ 0.7940 | 310s
step  25500 | train loss 0.0019 | train acc 1.000 | val loss 1.9712 | val acc 0.704 | ‖g‖ 0.1677 | 316s
step  26000 | train loss 0.1661 | train acc 0.938 | val loss 1.3821 | val acc 0.675 | ‖g‖ 6.0947 | 323s
step  26500 | train loss 0.0035 | train acc 1.000 | val loss 1.9418 | val acc 0.685 | ‖g‖ 0.1905 | 330s
step  27000 | train loss 0.0018 | train acc 1.000 | val loss 1.8927 | val acc 0.704 | ‖g‖ 0.1122 | 338s
