wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ltnzuugz
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_194655-ltnzuugz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n4-wd0.4-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/ltnzuugz
Generating dataset: n_nodes=4, n_graphs=200, dataset_seed=42
  train: 1,920 samples | val: 480 samples | vocab size: 8 | seq len: 21
Training: lr=0.001, wd=0.4, n_steps=200,000, seed=0
step     10 | train loss 1.3197 | train acc 0.422 | val loss 1.2755 | val acc 0.456 | ‖g‖ 3.6892 | 1s
step     20 | train loss 1.1048 | train acc 0.508 | val loss 1.2003 | val acc 0.454 | ‖g‖ 0.7919 | 1s
step     30 | train loss 1.1440 | train acc 0.555 | val loss 1.1755 | val acc 0.460 | ‖g‖ 2.6710 | 1s
step     40 | train loss 1.1801 | train acc 0.422 | val loss 1.2045 | val acc 0.419 | ‖g‖ 2.5562 | 1s
step     50 | train loss 1.0662 | train acc 0.523 | val loss 1.1601 | val acc 0.479 | ‖g‖ 1.8245 | 2s
step     60 | train loss 1.0699 | train acc 0.500 | val loss 1.1671 | val acc 0.467 | ‖g‖ 0.6548 | 2s
step     70 | train loss 1.0519 | train acc 0.484 | val loss 1.1402 | val acc 0.510 | ‖g‖ 1.3360 | 2s
step     80 | train loss 1.1403 | train acc 0.414 | val loss 1.1465 | val acc 0.523 | ‖g‖ 1.0995 | 2s
step     90 | train loss 1.0200 | train acc 0.555 | val loss 1.1536 | val acc 0.525 | ‖g‖ 1.0985 | 2s
step    100 | train loss 0.9620 | train acc 0.609 | val loss 1.1311 | val acc 0.529 | ‖g‖ 1.6223 | 2s
step    110 | train loss 0.9255 | train acc 0.633 | val loss 1.1080 | val acc 0.542 | ‖g‖ 2.5944 | 2s
step    120 | train loss 0.9391 | train acc 0.570 | val loss 1.1055 | val acc 0.510 | ‖g‖ 1.2616 | 2s
step    130 | train loss 0.8220 | train acc 0.680 | val loss 1.1246 | val acc 0.537 | ‖g‖ 1.2176 | 2s
step    140 | train loss 0.8193 | train acc 0.664 | val loss 1.1123 | val acc 0.550 | ‖g‖ 1.5363 | 3s
step    150 | train loss 0.9665 | train acc 0.523 | val loss 1.1427 | val acc 0.544 | ‖g‖ 2.5433 | 3s
